year	plotid	plant	plantid	WUE_1819	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	plot	subplot
2018	1B	270	1B270	60.862				NA	NA	NA	NA	NA	FALSE	NA	NA	1	B
2018	1D	28	1D28	94.952		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	1	D
2018	2A	173	2A173	69.592				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	2	A
2018	3B	616	3B616	85.28				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	3	B
2018	3D	869	3D869	167.589		pheno18		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	3	D
2018	4B	168	4B168	91.457		census20		NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	4	B
2018	4C	28	4C28	139.904		census20 leaf20 licor20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	4	C
2018	5B	299	5B299	158.999				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	5	B
2018	5D	281	5D281	188.801				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	D
2018	6A	134	6A134	220.912				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	A
2018	6C	105	6C105	216.722				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	6	C
2018	1B	684	1B684	59.444				NA	vegetative > flowering > vegetative	vegetative	flowering	vegetative	FALSE	1	1	1	B
2018	2A	164	2A164	95.638				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	2	A
2018	2B	184	2B184	101.241				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	2	B
2018	3B	834	3B834	76.503				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	B
2018	3D	875	3D875	130.097				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	3	D
2018	4C	630	4C630	209.504				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	C
2018	5B	6	5B6	107.711		pheno18		NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	B
2018	5D	265	5D265	56.612				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	5	D
2018	6A	136	6A136	110.293				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	6	A
2018	1B	648	1B648	181.85				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	1	B
2018	1D	7	1D7	123.787				NA	vegetative > vegetative > tagnf	vegetative	vegetative	tagnf	FALSE	0	1	1	D
2018	2A	161	2A161	70.543				NA	no_record > dead_nf > dead_nf	no_record	dead_nf	dead_nf	FALSE	0	0	2	A
2018	2B	190	2B190	111.97				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	2	B
2018	3B	609	3B609	181.914				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	3	B
2018	3D	875	3D875	143.418				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	3	D
2018	4B	190	4B190	214.995				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	B
2018	4C	36	4C36	221.68				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	4	C
2018	5B	20	5B20	118.4		pheno18 pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	5	B
2018	5D	278	5D278	150.534				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	5	D
2018	6A	164	6A164	142.239				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	A
2018	6C	112	6C112	123.228				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	6	C
2018	1B	654	1B654	135.178				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	1	B
2018	1D	32	1D32	42.034				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	1	D
2018	2A	160	2A160	89.485				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	2	A
2018	2B	192	2B192	209.593				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	2	B
2018	3B	619	3B619	34.145				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	3	B
2018	3D	865	3D865	94.662				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	D
2018	4B	161	4B161	103.822				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	4	B
2018	4C	34	4C34	41.636				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	C
2018	5B	24	5B24	72.997				NA	vegetative > tagnf > no_record	vegetative	tagnf	no_record	FALSE	NA	NA	5	B
2018	5D	253	5D253	68.223				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	D
2018	6A	153	6A153	78.902				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	6	A
2018	6C	85	6C85	88.745				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	6	C
2018	1B	650	1B650	56.028				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	1	B
2018	1D	1	1D1	68.882				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	1	D
2018	2A	168	2A168	140.445				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	0	0	2	A
2018	2B	183	2B183	81.868				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	2	B
2018	3D	602	3D602	77.835				NA	NA	NA	NA	NA	FALSE	NA	NA	3	D
2018	4B	160	4B160	183.398				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	0	0	4	B
2018	4C	107	4C107	98.383				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	C
2018	5B	10	5B10	60.253				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	B
2018	5D	241	5D241	26.161				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	D
2018	6A	149	6A149	220.841				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	6	A
2018	6C	100	6C100	105.539				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	C
2018	1B	667	1B667	162.126				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	1	B
2018	1D	24	1D24	130.428				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	1	D
2018	2A	167	2A167	138.549				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	1	2	A
2018	2B	130	2B130	173.801				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	2	B
2018	3B	608	3B608	127.133				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	B
2018	4B	180	4B180	98.648				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	4	B
2018	4C	115	4C115	216.181				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	4	C
2018	5B	11	5B11	225.442				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	5	B
2018	5D	235	5D235	216.026				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	D
2018	6A	647	6A647	NA				NA	NA	NA	NA	NA	FALSE	NA	NA	6	A
2018	6C	108	6C108	111.665				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	C
2018	1C	52	1C52	67.617				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	1	C
2018	2C	267	2C267	142.086				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	2	C
2018	3A	639	3A639	132.263				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	3	A
2018	5C	209	5C209	106.718				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	C
2018	6B	23	6B23	128.972				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	B
2018	1C	46	1C46	159.012				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	1	C
2018	2C	297	2C297	125.943		census20 pheno20 floral20 volatiles20 seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	2	C
2018	3A	657	3A657	47.288		pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	3	A
2018	4D	51	4D51	140.357				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	4	D
2018	5C	218	5C218	121.524		seeds20	pheno19	5C229	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	5	C
2018	6B	3	6B3	75.386				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	B
2018	1C	67	1C67	116.263		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	1	C
2018	2C	298	2C298	156.425				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	2	C
2018	3A	637	3A637	123.768				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	A
2018	4D	56	4D56	183.534				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	4	D
2018	5C	217	5C217	67.262				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	FALSE	1	1	5	C
2018	6B	22	6B22	93.613				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	B
2018	1C	72	1C72	74.21				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	1	C
