data_entry	observer	date	id	plot	subplot	plant	notes	flowering	rosettes	stalks	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	other_notes	plantid	check_19_20	plotid	year	n_rosettes	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_21_fixed	modified	status	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
ST	XL	2020-06-12T00:00:00Z	1D-2	1	D	2_20	blank	n	one_or_more	NA	31	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D2_20	refound?	1D	2020	1		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	TRUE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-3	1	D	3	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D3	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-4	1	D	4	chewed	n	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D4	NA	1D	2020	0				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	vegetative	0	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-5	1	D	5_20	blank	y	blank	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	duplicate tag	1D5_20	flowered twice?	1D	2020	NA		census20 pheno20 floral20 seeds20		NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	TRUE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-5	1	D	5_20	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	duplicate tag	1D5_20	NA	1D	2020	0		census20 pheno20 floral20 seeds20		NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	TRUE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-8	1	D	8	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D8	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-9	1	D	9	blank	y	one_or_more	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D9	NA	1D	2020	1				NA	vegetative > vegetative > flowering	vegetative	vegetative	dead_nf	FALSE	flowering	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-10	1	D	10	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D10	NA	1D	2020	0				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-11	1	D	11	nf	blank	zero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D11	died and nf?	1D	2020	0				NA	vegetative > vegetative > vegetative	vegetative	vegetative	flowering	FALSE	vegetative	1	1	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
ST	XL	2020-06-12T00:00:00Z	1D-13	1	D	13_20	blank	n	one_or_more	NA	45	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1D13_20	refound?	1D	2020	1		census20 leaf20 licor20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	TRUE	dead_nf	0	0	Reduction	Reduction	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	47.142356808736125	25.369392014598205	72.51174882333433
