plantid	cen181920	size20	notes1818r2_19_20chk1920	data_entry	scribe	observer	date	other_notes	stalks	status	n_rosettes	r1_longest	r1_leaves	r2_longest	r2_leaves	r3_longest	r3_leaves	r4_longest	r4_leaves	r5_longest	r5_leaves	r6_longest	r6_leaves	r7_longest	r7_leaves	plot	subplot	plotid	plant	year	water	snow	plot_x	plot_y	subplot_x	subplot_y	water4
1A221	V | V | V	1,13,51	,|below left in grass|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	221	2021	Addition	Normal	0	0	-1	1	Addition
1A222	V | V |DNF	0,,	,|chewed, ts|,chew death	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	222	2021	Addition	Normal	0	0	-1	1	Addition
1A223	V | V |DNF	0,,	,|chewed, ts|,chew death	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	223	2021	Addition	Normal	0	0	-1	1	Addition
1A225	V | V | V	1,26,46	,|below right|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	52	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	225	2021	Addition	Normal	0	0	-1	1	Addition
1A226	V |DNF|DNF	0,,	,|dead|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	226	2021	Addition	Normal	0	0	-1	1	Addition
1A227	V | V | V	1,7,29	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	34	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	227	2021	Addition	Normal	0	0	-1	1	Addition
1A228	V | V | V	1,10,32	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	32	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	228	2021	Addition	Normal	0	0	-1	1	Addition
1A229	V | V |DNF	0,,	,||,died and nf?	JP	DH	JP	2021-06-16T00:00:00Z	chewed last year. says 3 maybe more rosettes, changed to 4	NA	vegetative	4	30	7	25	8	28	6	20	7	NA	NA	NA	NA	NA	NA	1	A	1A	229	2021	Addition	Normal	0	0	-1	1	Addition
1A230	V | V | F	,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	230	2021	Addition	Normal	0	0	-1	1	Addition
1A231	V | V | F	2,,	,|chewed,ts|,regrew?	JP	DH	JP	2021-06-16T00:00:00Z	NA	1	flowering	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	231	2021	Addition	Normal	0	0	-1	1	Addition
1A232	F |DNF|DNF	0,,	,|dead|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	232	2021	Addition	Normal	0	0	-1	1	Addition
1A233	V | V | F	2,,	missing,|tagnf|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	233	2021	Addition	Normal	0	0	-1	1	Addition
1A234	F |DNF|DNF	0,,	broken,|dead|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	234	2021	Addition	Normal	0	0	-1	1	Addition
1A235	V | V | F	,,	missing,|below right|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	235	2021	Addition	Normal	0	0	-1	1	Addition
1A236	V | F |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	236	2021	Addition	Normal	0	0	-1	1	Addition
1A237	V | V |DNF	0,,	,||,died and nf?	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	237	2021	Addition	Normal	0	0	-1	1	Addition
1A238	F |DNF|DNF	0,,	,|dead|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	238	2021	Addition	Normal	0	0	-1	1	Addition
1A239	V | F |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	239	2021	Addition	Normal	0	0	-1	1	Addition
1A240	V | V | F	,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	240	2021	Addition	Normal	0	0	-1	1	Addition
1A241	V | V |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	241	2021	Addition	Normal	0	0	-1	1	Addition
1A242	V | V |DNF	0,,	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	242	2021	Addition	Normal	0	0	-1	1	Addition
1A243	V | V | F	3,,	might have 4,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	243	2021	Addition	Normal	0	0	-1	1	Addition
1A244	V | V | F	,,	might have 4 rosettes,|directly above tag|,check tag #	JP	DH	JP	2021-06-16T00:00:00Z	NA	1	flowering	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	244	2021	Addition	Normal	0	0	-1	1	Addition
1A245	V | V | V	1,17,44	,||,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	53	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	245	2021	Addition	Normal	0	0	-1	1	Addition
1A246	V | F | F	1,,	,||,flowered twice?	JP	DH	JP	2021-06-16T00:00:00Z	two duplicate 246 tags, other one NF	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	246	2021	Addition	Normal	0	0	-1	1	Addition
1A247	NA | V |NA	,,	,|ts|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	247	2021	Addition	Normal	0	0	-1	1	Addition
1A248	V |DNF|DNF	,,	,|dead|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	tagnf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	248	2021	Addition	Normal	0	0	-1	1	Addition
1A249	V | V | V	1,11,46	,|eaten|,fixed 2019 (1B->1A)	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	3	29	10	41	6	39	10	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	249	2021	Addition	Normal	0	0	-1	1	Addition
1A250	V | V | F	2,,	,||,check tag #	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	dead_nf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	250	2021	Addition	Normal	0	0	-1	1	Addition
1A251	V | V | F	1,,	,|below & left of tag|,	JP	DH	JP	2021-06-16T00:00:00Z	NA	NA	vegetative	1	51	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	A	1A	251	2021	Addition	Normal	0	0	-1	1	Addition
