plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
1A221		 V | V | V 	1,13,51	,|below left in grass|,
1A222		 V | V |DNF	0,,	,|chewed, ts|,chew death
1A223		 V | V |DNF	0,,	,|chewed, ts|,chew death
1A225		 V | V | V 	1,26,46	,|below right|,
1A226		 V |DNF|DNF	0,,	,|dead|,
1A227		 V | V | V 	1,7,29	,||,
1A228		 V | V | V 	1,10,32	,||,
1A229	chewed last year. says 3 maybe more rosettes, changed to 4	 V | V |DNF	0,,	,||,died and nf?
1A230		 V | V | F 	,,	,||,
1A231		 V | V | F 	2,,	,|chewed,ts|,regrew?
1A232		 F |DNF|DNF	0,,	,|dead|,
1A233		 V | V | F 	2,,	missing,|tagnf|,
1A234		 F |DNF|DNF	0,,	broken,|dead|,
1A235		 V | V | F 	,,	missing,|below right|,
1A236		 V | F |DNF	0,,	,||,
1A237		 V | V |DNF	0,,	,||,died and nf?
1A238		 F |DNF|DNF	0,,	,|dead|,
1A239		 V | F |DNF	0,,	,||,
1A240		 V | V | F 	,,	,||,
1A241		 V | V |DNF	0,,	,||,
1A242		 V | V |DNF	0,,	,||,
1A243		 V | V | F 	3,,	might have 4,||,
1A244		 V | V | F 	,,	might have 4 rosettes,|directly above tag|,check tag #
1A245		 V | V | V 	1,17,44	,||,
1A246	two duplicate 246 tags, other one NF	 V | F | F 	1,,	,||,flowered twice?
1A247		NA | V |NA 	,,	,|ts|,
1A248		 V |DNF|DNF	,,	,|dead|,
1A249		 V | V | V 	1,11,46	,|eaten|,fixed 2019 (1B->1A)
1A250		 V | V | F 	2,,	,||,check tag #
1A251		 V | V | F 	1,,	,|below & left of tag|,
1A252		NA | V |NA 	,,	,||,
1A253		 F |DNF|DNF	0,,	,|dead|,fixed 2019 (1B->1A)
1A254		 V |DNF|DNF	0,,	,|nf|,fixed 2019 (1B->1A)
1A255		 V | V | F 	2,,	,|eaten|,fixed 2019 (1B->1A)
1A256		 V |DNF|DNF	0,,	,|nf|,fixed 2019 (1B->1A)
1A257		 V | V | F 	2,,	,||,
1A258		 V | F |DNF	0,,	,||,
1A259		 V | F |DNF	0,,	,||,
1B199_20		NA |NA | V 	1,19,60	,||,check tag #
1B647		 V | V | V 	3,33,45	,|1 ts|,
1B648		 V | F |DNF	0,,	,||,
1B649		 V | V | F 	1,,	,||,
1B650		 V | V | F 	1,,	,||,
1B651		 V |DNF|DNF	0,,	,|dead|,
1B652		 V | V | V 	1,19,38	,JP: changed r2_longest from 266 > 26 on 2021-11-09|UL of tag, ts|,
1B653		 V | V | F 	1,,	,||,
1B654		 V |DNF|DNF	0,,	,|nf|,
1B655		 F |DNF|DNF	0,,	,|nf|,
1B656		 V | V | F 	2,,	,|2 ts|,
1B657		 V | F |DNF	0,,	,||,
1B658	recheck - says D and F last year but has rosettes? Count and length close to 1B669.	 V | V | F 	1,,	,||,
1B659		 V | V | V 	1,17,32	,|2 ts|,
1B660		 V | V | V 	1,,42	,|4 ts|,
1B661		 V | V | V 	0,,	,|nf|,
1B662		 V | V | V 	,,	,||,
1B663		 V | V | V 	3,14,38	,||,
1B664		 F |DNF|DNF	0,,	,|dead|,
1B665	one below tag	 F | V | V 	0,,	,|down from tag, ts|,
1B666		 V | V | V 	1,23,50	,|L of tag by about 1 inch|,
1B667		 V |DNF|DNF	0,,	,|dead|,
1B668		 F |DNF|DNF	0,,	,|nf|,
1B669		 V | V | V 	1,15,61	,||,
1B670		 V | F |DNF	0,,	,||,
1B671		 V | V |DNF	0,,	,|1 ts|,
1B672		 V | V | F 	1,,	,||,
1B673		 V | V | V 	1,8,22	,|1 ts|,
1B674		 V | V | V 	1,14,41	,||,
1B675		 F |DNF|DNF	0,,	,|dead|,
1B676		 V |DNF|DNF	,,	,|dead|,
1B677		 V | V |TNF	,,	,||,
1B678		 F |DNF|DNF	0,,	,|nf|,
1B684		 V | F | V 	1,17,45	,||,flowered and lived?
1B685		 V | F |DNF	,,	,||,
1B99	line below 99 (not 66)	NA |NA |DNF	0,,	,||,check tag #
1C42		 V |DNF|DNF	0,,	,|dead|,
1C43		 V | F |DNF	0,,	,||,
1C44		 V |DNF|DNF	0,,	,|nf|,
1C45		 V | V |DNF	0,,	,|ts|,died and nf?
1C46		 V | V | F 	2,,	,||,
1C47		 V | F |DNF	0,,	,looks like ther were 4 rossettes but one died||tag found detached, not near any plants,
1C48		 V | V | V 	1,17,64	,couldn't find||,
1C49		 V | V | V 	1,19,58	,||,
1C50		 F |DNF|DNF	0,,	,flowering plant?|dead|,
1C51		 V |DNF|DNF	0,,	,|dead|,
1C52		 V |DNF|DNF	0,,	,|dead|,
1C53		 V | V | V 	1,28,48	,||,
1C54		 V | V | F 	1,,	,||,
1C55		 V | V | V 	2,10,34	,|ts|,
1C56		 V | V | V 	3,20,38	,|5ts|,
1C57		 V | V | V 	2,14,38	,||,
1C58	2nd rosette wilted (so changed rosettes to 1)	 V | V | V 	2,18,48	,|tagnf|,tagnf last year
1C59		 V |DNF|DNF	,,	,completely dead and uprooted|nf|,
1C59_20		 V |DNF|DNF	0,,	,||,
1C60		 V | V | F 	1,,	,||,
1C61		 F |DNF|DNF	0,,	,|nf|,
1C62		 F |DNF|DNF	0,,	,|nf|,
1C63		 V | V | F 	1,,	,|nf|,refound?
1C64		 V | V | F 	,,	,||,
1C65		 V | F |DNF	0,,	,||,
1C66		 V | V |DNF	0,,	,||,died and nf?
1C67		 V | V |DNF	0,,	,|nf|,
1C68		 V |DNF|DNF	0,,	,|dead|,
1C69		 V | V | V 	1,14,21	,||,
1C70		 V | V | V 	1,12,22	,||,
1C71		 V | V | V 	1,17,42	,||,
1C72		 V | F |DNF	0,,	,||,
1C73		 V | V |TNF	,,	,|ts|,
1C74		 V |DNF|DNF	0,,	,|dead|,
1C75		 V | V |DNF	0,,	,||,died and nf?
1C76		 V | V | V 	1,21,54	,||,
1C77		 V | V |DNF	0,,	,|ts|,
1C78		 V |DNF|DNF	0,,	,|nf|,
1C79		 V |DNF|DNF	0,,	,|nf|,
1D1		 V |DNF|DNF	0,,	,|nf|,
1D10		 V |DNF|DNF	0,,	,|nf|,
1D11	below tag	 V | V | V 	0,,	,|below tag by 1 inch|,died and nf?
1D12	1 dead stalk	 V | V | F 	1,,	,||,
1D13		 V |DNF|DNF	,,	,|nf|,
1D13_20		 V |DNF|DNF	1,18,45	,||,refound?
1D14		 V | V | F 	,,	,||,
1D15		 V | V |DNF	0,,	,|chewed, ts|,chew death
1D16	JP fixed r1_leaves from 1 > 11 2021-11-09	 V | V | V 	4,4,43	,||,flower or veg?
1D17		 V | V | F 	,,	,|nf|,refound?
1D18		 V | V |DNF	0,,	,|chewed|,
1D19		 V | F |DNF	0,,	,||,
1D2		 V |DNF|DNF	,,	,|nf|,
1D2_20	flowering nearby	 V |DNF|DNF	1,37,31	,||,refound?
1D20		 V | V | F 	1,,	,|chewed|,regrew?
1D21		 V | V | V 	0,,	,||,
1D22		 V |DNF|DNF	0,,	,|nf|,
1D23		 V |DNF|DNF	0,,	,|nf|,
1D24		 V | V | F 	1,,	,|chewed, ts, down left of tag|,regrew?
1D25		 V | V |DNF	0,,	,||,died and nf?
1D26		 V | V |DNF	0,,	,|ts, above plant by 1 inch|,died and nf?
1D27		 V |DNF|DNF	0,,	,|dead|,
1D28		 V | V |DNF	0,,	,||,died and nf?
1D29		 F |DNF|DNF	0,,	,|nf|,
1D3		 V |DNF|DNF	0,,	,|nf|,
1D30		 V |DNF|DNF	0,,	,|nf|,
1D31		 V |DNF|DNF	,,	,|nf|,
1D32		 V |DNF|DNF	,,	,second rosette is closer to 31 tag|nf|,
1D33		 V | V | F 	,,	,||,
1D34		 V | F |DNF	0,,	,||,
1D35		 V | V |TNF	,,	,||,
1D36	tag below plot	 V | V |TNF	,,	,|chewed,ts|,
1D37		 V | V | F 	,,	,||,
1D38		 V |DNF|DNF	0,,	,|tag out, nf|,
1D39	nothing near tag, but vegetative plant farther right (1D39_20)	 V |DNF|DNF	,,	,|nf|,
1D39_20	right of tag	 V |DNF|DNF	1,26,32	,||,refound?
1D4		 V | V | V 	0,,	?,||,
1D40		 V | V | V 	2,15,29	,||,
