plot	subplot	plotid	plant	plantid	status_18	status_18r2	status_19	status_20	status_21	check_19_20_20	other_notes_18	notes_18	other_notes_18r2	notes_18r2	other_notes_19	notes_19	notes_20	other_notes_20	notes1818r2_19_20chk1920_21	other_notes_21	transition_1819	transition_1920	transition_181920	transition_18192021	flowering_status_18	flowering_status_18r2	flowering_status_19	flowering_status_20	flowering_status_21	alive_status_18	alive_status_18r2	alive_status_19	alive_status_20	alive_status_21
1	A	1A	221	1A221	vegetative	vegetative	vegetative	vegetative	tagnf	NA	NA	blank	NA	blank	below left in grass	blank	blank	NA	,|below left in grass|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > tagnf	0	0	0	0	NA	1	1	1	1	NA
1	A	1A	222	1A222	vegetative	vegetative	vegetative	dead_nf	tagnf	chew death	NA	blank	NA	blank	chewed, ts	chewed	nf	NA	,|chewed, ts|,chew death	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > tagnf	0	0	0	0	NA	1	1	1	0	NA
1	A	1A	223	1A223	vegetative	vegetative	vegetative	dead_nf	dead_nf	chew death	NA	blank	NA	blank	chewed, ts	chewed	nf	NA	,|chewed, ts|,chew death	NA	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > dead_nf	0	0	0	0	0	1	1	1	0	0
1	A	1A	225	1A225	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	below right	blank	blank	NA	,|below right|,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	A	1A	226	1A226	vegetative	vegetative	dead_nf	dead_nf	dead_nf	NA	NA	blank	NA	blank	dead	dead	nf	NA	,|dead|,	NA	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	vegetative > dead_nf > dead_nf > dead_nf	0	0	0	0	0	1	1	0	0	0
1	A	1A	227	1A227	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	A	1A	228	1A228	vegetative	vegetative	vegetative	vegetative	vegetative	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	vegetative > vegetative > vegetative > vegetative	0	0	0	0	0	1	1	1	1	1
1	A	1A	229	1A229	vegetative	vegetative	vegetative	dead_nf	vegetative	died and nf?	NA	blank	NA	blank	NA	blank	nf	NA	,||,died and nf?	chewed last year. says 3 maybe more rosettes, changed to 4	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	vegetative > vegetative > dead_nf > vegetative	0	0	0	0	0	1	1	1	0	1
1	A	1A	230	1A230	vegetative	vegetative	vegetative	flowering	tagnf	NA	NA	blank	NA	blank	NA	blank	blank	NA	,||,	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > tagnf	0	0	0	1	NA	1	1	1	1	NA
1	A	1A	231	1A231	vegetative	vegetative	vegetative	flowering	flowering	regrew?	NA	blank	NA	blank	chewed,ts	chewed	blank	NA	,|chewed,ts|,regrew?	NA	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	vegetative > vegetative > flowering > flowering	0	0	0	1	1	1	1	1	1	1
