status_20_fixed	status_21	status_21_fixed
dead_nf	dead_nf	dead_nf
dead_nf	flowering	dead_nf
dead_nf	tagnf	dead_nf
dead_nf	vegetative	dead_nf
dead_nf	NA	dead_nf
flowering	dead_nf	dead_nf
flowering	flowering	flowering
flowering	tagnf	dead_nf
flowering	vegetative	vegetative
flowering	NA	dead_nf
no_record	dead_nf	dead_nf
no_record	flowering	flowering
no_record	tagnf	tagnf
no_record	vegetative	vegetative
no_record	NA	NA
recheck	NA	NA
tagnf	dead_nf	dead_nf
tagnf	flowering	flowering
tagnf	tagnf	tagnf
tagnf	vegetative	vegetative
tagnf	NA	NA
vegetative	dead_nf	dead_nf
vegetative	flowering	flowering
vegetative	tagnf	tagnf
vegetative	vegetative	vegetative
vegetative	NA	NA
NA	NA	NA
