source	first_snow	first_100_cm	first_50_cm	first_0_cm	first_snow_day	first_100_cm_day	first_50_cm_day	first_0_cm_day	year	precip_est_mm
billy	NA	NA	NA	1975-06-06T00:00:00Z	NA	NA	NA	157	1975	88.16106726912096
billy	1975-11-07T00:00:00Z	1976-04-26T00:00:00Z	1976-05-09T00:00:00Z	1976-05-15T00:00:00Z	311	117	130	136	1976	75.81657383673027
billy	1976-11-13T00:00:00Z	NA	1977-04-08T00:00:00Z	1977-04-26T00:00:00Z	318	NA	98	116	1977	95.8399253884821
billy	1977-11-18T00:00:00Z	1978-05-16T00:00:00Z	1978-05-25T00:00:00Z	1978-06-04T00:00:00Z	322	136	145	155	1978	32.56224645551877
billy	1978-11-11T00:00:00Z	1979-05-17T00:00:00Z	1979-05-24T00:00:00Z	1979-06-01T00:00:00Z	315	137	144	152	1979	45.975947980478736
billy	1979-11-07T00:00:00Z	1980-05-23T00:00:00Z	1980-05-30T00:00:00Z	1980-06-07T00:00:00Z	311	144	151	159	1980	26.924603785608056
billy	1980-10-15T00:00:00Z	1981-04-05T00:00:00Z	1981-04-19T00:00:00Z	1981-04-29T00:00:00Z	289	95	109	119	1981	128.69377405106522
billy	1981-10-24T00:00:00Z	1982-05-07T00:00:00Z	1982-05-22T00:00:00Z	1982-05-31T00:00:00Z	297	127	142	151	1982	63.374879668651445
billy	1982-10-26T00:00:00Z	1983-05-24T00:00:00Z	1983-06-01T00:00:00Z	1983-06-09T00:00:00Z	299	144	152	160	1983	58.028839205805085
billy	1983-11-08T00:00:00Z	1984-05-22T00:00:00Z	1984-05-28T00:00:00Z	1984-06-04T00:00:00Z	312	143	149	156	1984	132.19300053583737
billy	1984-10-17T00:00:00Z	1985-05-03T00:00:00Z	1985-05-17T00:00:00Z	1985-05-25T00:00:00Z	291	123	137	145	1985	86.41145402673487
billy	1985-11-05T00:00:00Z	1986-05-12T00:00:00Z	1986-05-23T00:00:00Z	1986-05-29T00:00:00Z	309	132	143	149	1986	74.74736574416099
billy	1986-10-31T00:00:00Z	1987-04-25T00:00:00Z	1987-05-07T00:00:00Z	1987-05-12T00:00:00Z	304	115	127	132	1987	71.1509385237007
billy	1987-11-06T00:00:00Z	1988-04-11T00:00:00Z	1988-05-05T00:00:00Z	1988-05-15T00:00:00Z	310	102	126	136	1988	117.02968576849133
billy	1988-11-08T00:00:00Z	1989-04-18T00:00:00Z	1989-05-05T00:00:00Z	1989-05-12T00:00:00Z	313	108	125	132	1989	136.58108250423643
