year,plot,time,temp,intensity
2018,6,2017-09-05T19:00:00Z,23.773,10.8
2018,6,2017-09-05T23:00:00Z,29.252,28933.5
2018,6,2017-09-06T03:00:00Z,7.481,0
2018,6,2017-09-06T07:00:00Z,0.563,0
2018,6,2017-09-06T11:00:00Z,-3.079,0
2018,6,2017-09-06T15:00:00Z,23.869,23422.4
2018,6,2017-09-06T19:00:00Z,36.946,44089.2
2018,6,2017-09-06T23:00:00Z,25.416,20666.8
2018,6,2017-09-07T03:00:00Z,7.28,0
2018,6,2017-09-07T07:00:00Z,2.73,0
2018,6,2017-09-07T11:00:00Z,-0.325,0
2018,6,2017-09-07T15:00:00Z,24.931,26178
2018,6,2017-09-07T19:00:00Z,40.185,49600.3
2018,6,2017-09-07T23:00:00Z,26.977,33066.9
2018,6,2017-09-08T03:00:00Z,10.748,0
2018,6,2017-09-08T07:00:00Z,3.367,0
2018,6,2017-09-08T11:00:00Z,5.244,0
2018,6,2017-09-08T15:00:00Z,28.555,24800.2
2018,6,2017-09-08T19:00:00Z,43.601,35822.5
2018,6,2017-09-08T23:00:00Z,34.691,41333.6
2018,6,2017-09-09T03:00:00Z,5.037,0
2018,6,2017-09-09T07:00:00Z,5.86,0
2018,6,2017-09-09T11:00:00Z,0.232,0
2018,6,2017-09-09T15:00:00Z,14.613,6200
2018,6,2017-09-09T19:00:00Z,30.154,28933.5
2018,6,2017-09-09T23:00:00Z,24.931,28933.5
2018,6,2017-09-10T03:00:00Z,6.166,0
2018,6,2017-09-10T07:00:00Z,1.112,0
2018,6,2017-09-10T11:00:00Z,0.453,0
2018,6,2017-09-10T15:00:00Z,14.517,19289
2018,6,2017-09-10T19:00:00Z,31.064,42711.4
2018,6,2017-09-10T23:00:00Z,27.173,21355.7
2018,6,2017-09-11T03:00:00Z,10.357,0
2018,6,2017-09-11T07:00:00Z,2.624,0
2018,6,2017-09-11T11:00:00Z,-0.213,0
2018,6,2017-09-11T15:00:00Z,25.805,23422.4
2018,6,2017-09-11T19:00:00Z,45.076,24800.2
2018,6,2017-09-11T23:00:00Z,10.944,1808.3
2018,6,2017-09-12T03:00:00Z,8.68,0
2018,6,2017-09-12T07:00:00Z,2.73,0
2018,6,2017-09-12T11:00:00Z,-0.102,0
2018,6,2017-09-12T15:00:00Z,20.901,21355.7
2018,6,2017-09-12T19:00:00Z,38.046,33066.9
2018,6,2017-09-12T23:00:00Z,20.329,20666.8
2018,6,2017-09-13T03:00:00Z,4.934,0
2018,6,2017-09-13T07:00:00Z,2.73,0
2018,6,2017-09-13T11:00:00Z,0.893,0
2018,6,2017-09-13T15:00:00Z,13.654,12400.1
2018,6,2017-09-13T19:00:00Z,40.415,42711.4
2018,6,2017-09-13T23:00:00Z,20.71,11711.2
2018,6,2017-09-14T03:00:00Z,8.481,0
2018,6,2017-09-14T07:00:00Z,6.471,0
2018,6,2017-09-14T11:00:00Z,1.439,0
2018,6,2017-09-14T15:00:00Z,16.523,13089
2018,6,2017-09-14T19:00:00Z,34.903,27555.7
2018,6,2017-09-14T23:00:00Z,8.68,3961.1
2018,6,2017-09-15T03:00:00Z,7.179,0
2018,6,2017-09-15T07:00:00Z,2.303,0
2018,6,2017-09-15T11:00:00Z,0.232,0
2018,6,2017-09-15T15:00:00Z,18.426,22044.6
2018,6,2017-09-15T19:00:00Z,23.388,27555.7
2018,6,2017-09-15T23:00:00Z,19.758,38578
