index	plot	subplot	plotid	plant	plantid	status_18	status_18r2	status_19	status_20	transition_1819	transition_1920	transition_181920	check_19_20_20	census18	notes_18	other_notes_18	census18r2	other_notes_18r2	pheno18	floral18	seeds18	leaf18	licor18	census19	notes_19	other_notes_19	pheno19	floral19	seeds19	leaf19	licor19	census20	notes_20	other_notes_20	pheno20	floral20	volatiles20	seeds20	leaf20	licor20	total_obs
1	1	A	1A	133	1A133																														1		1				2
2	1	A	1A	221	1A221	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	below left in grass						1	blank						2		6
3	1	A	1A	222	1A222	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	chew death	1	blank		1							1	chewed	chewed, ts					2	1	nf								6
4	1	A	1A	223	1A223	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	chew death	1	blank		1							1	chewed	chewed, ts						1	nf								4
5	1	A	1A	225	1A225	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank	below right					2	1	blank						2	4	12
6	1	A	1A	225_18	1A225_18														1																						1
7	1	A	1A	226	1A226	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1	nf								4
8	1	A	1A	227	1A227	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank					2	2	1	blank							2	10
9	1	A	1A	228	1A228	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							1	blank							1	blank								4
10	1	A	1A	229	1A229	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1					2	2	1	blank					1		1	nf								9
11	1	A	1A	230	1A230	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank					2	2	1	blank		5	4	1	1			19
12	1	A	1A	231	1A231	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	regrew?	1	blank		1							1	chewed	chewed,ts						1	blank		7	3	1				15
13	1	A	1A	232	1A232	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				15	6	1			1	dead	dead						1	nf								25
14	1	A	1A	233	1A233	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	tagnf	missing								1	tagnf	tagnf						2	blank		4	5		1			14
15	1	A	1A	234	1A234	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank	broken			7	1	1			1	dead	dead						1	nf								12
16	1	A	1A	235	1A235	vegetative	no_record	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	tagnf	missing								1	blank	below right						1	blank		6	5	1	1			16
17	1	A	1A	235_18	1A235_18															1																					1
18	1	A	1A	236	1A236	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1							1	blank		4	6	1			1	nf								15
19	1	A	1A	237	1A237	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf	died and nf?	1	blank		1					2		1	blank					1		1	nf					1			8
20	1	A	1A	237_18	1A237_18														1																						1
21	1	A	1A	238	1A238	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		1	blank				17	8	1			1	dead	dead						1	nf								29
22	1	A	1A	239	1A239	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1	blank		1						2	1	blank		3	6	1			1	nf								16
23	1	A	1A	240	1A240	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							1	blank		2	4		1			11
24	1	A	1A	241	1A241	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	blank		1							1	blank							1	nf								4
25	1	A	1A	242	1A242	vegetative	vegetative	vegetative	dead_nf	vegetative > vegetative	vegetative > dead_nf	vegetative > vegetative > dead_nf		1	blank		1							1	blank					2		1	nf								6
26	1	A	1A	243	1A243	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank	might have 4	1						2	1	blank					2	4	1	blank		4	2	1	1			20
27	1	A	1A	244	1A244	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	check tag #	1	blank	might have 4 rosettes	1							1	blank	directly above tag						1	blank		5	5	1	1			16
28	1	A	1A	245	1A245	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		1	blank		1							2	blank							1	blank						2		7
29	1	A	1A	246	1A246	vegetative	vegetative	flowering	flowering	vegetative > flowering	flowering > flowering	vegetative > flowering > flowering	flowered twice?	1	blank		1					2		2	blank		6	5	1	1	2	3	blank		4	2	1	1			32
30	1	A	1A	247	1A247	vegetative	vegetative	vegetative	no_record	vegetative > vegetative	vegetative > no_record	vegetative > vegetative > no_record		1	blank		1							1	ts	ts															3
31	1	A	1A	248	1A248	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		1	blank		1							1	dead	dead						1									4
32	1	A	1A	249	1A249	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative	fixed 2019 (1B->1A)	1	blank		1							1	chewed	eaten					2	1	blank						2	1	9
33	1	A	1A	250	1A250	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	check tag #	1	blank		1					2	2	1	blank					1	2	1	blank		5	4	1	1			22
34	1	A	1A	251	1A251	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank	below & left of tag						2	blank		4	3	1	1			14
35	1	A	1A	252	1A252	vegetative	vegetative	vegetative	no_record	vegetative > vegetative	vegetative > no_record	vegetative > vegetative > no_record		1	blank		1							1	blank																3
36	1	A	1A	253	1A253	flowering	vegetative	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf	fixed 2019 (1B->1A)	1	blank		1		5	3	1			1	dead	dead						1	nf								13
37	1	A	1A	254	1A254	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	fixed 2019 (1B->1A)	1	blank		1							1	nf	nf						1	nf								4
38	1	A	1A	255	1A255	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering	fixed 2019 (1B->1A)	1	blank		1							1	chewed	eaten						1	blank		5	5	1	1			16
39	1	A	1A	256	1A256	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf	fixed 2019 (1B->1A)	1	blank		1							1	nf	nf						1	nf								4
40	1	A	1A	257	1A257	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		1	blank		1							1	blank							3	blank		4	5	1	1			17
41	1	A	1A	258	1A258	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		3	1				1	nf								7
42	1	A	1A	259	1A259	vegetative	no_record	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		1										1	blank		3	4	1			1	nf								11
43	1	A	1A	280	1A280																														1						1
44	1	B	1B	179	1B179														1																						1
45	1	B	1B	199_20	1B199_20	no_record	no_record	no_record	vegetative	no_record > no_record	no_record > vegetative	no_record > no_record > vegetative	check tag #																			1	blank								1
46	1	B	1B	24	1B24																		1																		1
47	1	B	1B	270	1B270																		2																		2
48	1	B	1B	284	1B284																						1														1
49	1	B	1B	564	1B564														1																						1
50	1	B	1B	647	1B647	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1							2	ts	1 ts					2	1	blank						2		10
51	1	B	1B	648	1B648	vegetative	vegetative	flowering	dead_nf	vegetative > flowering	flowering > dead_nf	vegetative > flowering > dead_nf		2	blank		1						2	2	blank		2	4	1			1	nf								15
52	1	B	1B	649	1B649	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1							2	blank							1	blank		3	4	1	1			15
53	1	B	1B	650	1B650	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1						3	2	blank					2	2	1	blank		3	2	3	1			22
54	1	B	1B	651	1B651	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		2	blank		1							2	dead	dead						1	nf								6
55	1	B	1B	652	1B652	vegetative	vegetative	vegetative	vegetative	vegetative > vegetative	vegetative > vegetative	vegetative > vegetative > vegetative		2	blank		1	JP: changed r2_longest from 266 > 26 on 2021-11-09						2	ts	UL of tag, ts						1	blank								6
56	1	B	1B	653	1B653	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1							2	blank							1	blank		3	4	2	1			16
57	1	B	1B	654	1B654	vegetative	vegetative	dead_nf	dead_nf	vegetative > dead_nf	dead_nf > dead_nf	vegetative > dead_nf > dead_nf		2	blank		1					1	2	2	nf	nf						1	nf								9
58	1	B	1B	655	1B655	flowering	no_record	dead_nf	dead_nf	flowering > dead_nf	dead_nf > dead_nf	flowering > dead_nf > dead_nf		2	blank				14	4	1			2	nf	nf						1	nf								24
59	1	B	1B	656	1B656	vegetative	vegetative	vegetative	flowering	vegetative > vegetative	vegetative > flowering	vegetative > vegetative > flowering		2	blank		1							2	ts	2 ts						1	blank		4	3	1	1			15
