date	plot	subplot	plant	inflor	height_cm	buds_1	open_1	nr_1	buds_2	open_2	nr_2	buds_3	open_3	nr_3	buds_4	open_4	nr_4	buds_5	open_5	nr_5	buds_6	open_6	nr_6	buds_7	open_7	nr_7	buds_8	open_8	nr_8	buds_9	open_9	nr_9	buds_10	open_10	nr_10	eggs_delia_flies	eggs_small_flies	eggs_total	flowers_with_eggs	notes	plotid	plantid	julian	open	buds	water	snow	water4
2018-06-20T00:00:00Z	5	B	1	1	32	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B1	171	1	21	Control	Early	Mock rainout
2018-06-15T00:00:00Z	6	B	1	1	33.5	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	166	0	4	Reduction	Normal	Reduction
2018-06-18T00:00:00Z	6	B	1	1	35	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	169	0	7	Reduction	Normal	Reduction
2018-06-21T00:00:00Z	6	B	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	6B	6B1	172	0	0	Reduction	Normal	Reduction
2018-06-22T00:00:00Z	6	B	1	1	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	173	4	20	Reduction	Normal	Reduction
2018-06-25T00:00:00Z	6	B	1	1	NA	15	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	176	8	15	Reduction	Normal	Reduction
2018-06-27T00:00:00Z	6	B	1	1	35	26	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	6B	6B1	178	8	26	Reduction	Normal	Reduction
2018-06-29T00:00:00Z	6	B	1	1	NA	13	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	180	8	13	Reduction	Normal	Reduction
2018-07-05T00:00:00Z	6	B	1	1	NA	2	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	6B	6B1	186	7	2	Reduction	Normal	Reduction
2018-07-09T00:00:00Z	6	B	1	1	NA	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	190	2	0	Reduction	Normal	Reduction
2018-07-11T00:00:00Z	6	B	1	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	192	0	0	Reduction	Normal	Reduction
2018-07-16T00:00:00Z	6	B	1	1	36	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	6B	6B1	197	0	0	Reduction	Normal	Reduction
2018-07-20T00:00:00Z	6	B	1	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	6B	6B1	201	0	0	Reduction	Normal	Reduction
2018-07-25T00:00:00Z	6	B	1	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B1	206	0	0	Reduction	Normal	Reduction
2018-06-18T00:00:00Z	4	D	5	1	54	7	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4D	4D5	169	12	7	Reduction	Early	Reduction
2018-06-20T00:00:00Z	5	B	6	2	31	5	0	NA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B6	171	1	15	Control	Early	Mock rainout
2018-06-21T00:00:00Z	6	B	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	6B	6B6	172	0	0	Reduction	Normal	Reduction
2018-06-22T00:00:00Z	6	B	6	2	NA	14	0	NA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B6	173	1	24	Reduction	Normal	Reduction
2018-06-25T00:00:00Z	6	B	6	2	NA	6	5	NA	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B6	176	6	15	Reduction	Normal	Reduction
2018-06-27T00:00:00Z	6	B	6	2	40	18	2	NA	14	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	nectar robbing	6B	6B6	178	4	32	Reduction	Normal	Reduction
2018-06-29T00:00:00Z	6	B	6	2	NA	10	2	0	13	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B6	180	8	23	Reduction	Normal	Reduction
2018-07-05T00:00:00Z	6	B	6	2	NA	2	0	0	6	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	6B	6B6	186	3	8	Reduction	Normal	Reduction
2018-07-09T00:00:00Z	6	B	6	1	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B6	190	0	0	Reduction	Normal	Reduction
2018-07-11T00:00:00Z	6	B	6	1	NA	1	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	6B	6B6	192	1	2	Reduction	Normal	Reduction
2018-07-16T00:00:00Z	6	B	6	2	39	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	6B	6B6	197	0	0	Reduction	Normal	Reduction
2018-07-20T00:00:00Z	6	B	6	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	6B	6B6	201	0	0	Reduction	Normal	Reduction
2018-07-25T00:00:00Z	6	B	6	2	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6B	6B6	206	0	0	Reduction	Normal	Reduction
2018-06-15T00:00:00Z	5	B	7	1	26	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B7	166	0	7	Control	Early	Mock rainout
2018-06-15T00:00:00Z	5	B	7	1	NA	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B7	166	0	3	Control	Early	Mock rainout
