year	plotid	plant	plantid	plantid_uncorrected	date	VWC.plant	photosynthesis	conductance	WUE	notes	duplicate	plot	subplot	n_leaves	round	date.sm	date_diff	VWC.sm	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	VWC.sm.year	census	RGR	size
2018	1A	229	1A229	1A229	2018-07-06T00:00:00Z	NA	5.1953634165	0.078170913375	66.142	NA	NA	1	A	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	3.2				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	Addition	Addition	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	133.08907882579587	136.58830531056805	7.1675	19	2.005387761811628	432
2018	1A	239	1A239	1A239	2018-07-17T00:00:00Z	NA	28.840378625	0.72988306435	39.669	NA	NA	1	A	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	11.24				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Addition	Addition	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	133.08907882579587	136.58830531056805	7.1675	19	3.0222667329893853	558
2018	1A	243	1A243	1A243	2018-07-13T00:00:00Z	NA	21.63269327	0.42484636425	51.249	NA	NA	1	A	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	11.24				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	133.08907882579587	136.58830531056805	7.1675	19	0.3189586315691151	1365
2018	1A	250	1A250	1A250	2018-07-10T00:00:00Z	NA	23.960462065	0.47115313195	54.049	NA	NA	1	A	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	11.24				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	133.08907882579587	136.58830531056805	7.1675	19	1.9809784125795098	434
2018	1A	252	1A252	1A252	2018-07-03T00:00:00Z	NA	24.69761461	0.2622626579	94.879	NA	NA	1	A	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	3.2				NA	vegetative > vegetative > no_record	vegetative	vegetative	no_record	FALSE	0	1	Addition	Addition	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	133.08907882579587	136.58830531056805	7.1675	19	NA	810
2018	1B	648	1B648	1B648	2018-07-10T00:00:00Z	NA	3.902457631	0.021412443775	181.85	NA	NA	1	B	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	7.42				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Control	Control	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	4.525	19	NA	405
2018	1B	650	1B650	1B650	2018-07-17T00:00:00Z	NA	22.269021065	0.39755320325	56.028	NA	NA	1	B	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	7.42				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Control	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	4.525	19	1.1896604014270415	608
2018	1B	654	1B654	1B654	2018-07-13T00:00:00Z	NA	13.330888075	0.098840842455	135.178	NA	NA	1	B	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	7.42				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	4.525	19	NA	372
2018	1B	667	1B667	1B667	2018-07-27T00:00:00Z	NA	6.1406542155	0.037976645615	162.126	NA	NA	1	B	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	4.7				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	4.525	19	NA	648
2018	1B	670	1B670	1B270	2018-07-03T00:00:00Z	NA	13.97441087	0.22943107075	60.862	DRC updated plant number	NA	1	B	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	1.82				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Control	Control	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	4.525	19	NA	512
