plot	subplot	plant	seeds_total	seeds_early	seeds_fly	fruits	fruits_early	fruits_fly_with_seeds	fruits_fly_no_seeds	fruits_caterpillar	fruits_split	fruits_early_uncountable	aborted_nofruit	fruits_aborted	flowers_buds_aborted	flowers_buds_not_aborted	notes	plotid	plantid	water	water4	year	sun_time	sun_date	warm_time	warm_date	snow	melt_date	snow_new	melt_time	melt_date_normal_mean	melt_offset
1	A	232	13	12	0	6	5	0	1	0	6	1	58	0	0	0	NA	1A	1A232	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	A	232	13	12	0	6	5	0	1	0	6	1	58	0	0	0	NA	1A	1A232	Addition	Addition	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	A	232	13	12	0	6	5	0	1	0	6	1	58	0	0	0	NA	1A	1A232	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	A	234	9	0	0	9	0	0	1	0	1	3	0	0	2	0	NA	1A	1A234	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	A	234	9	0	0	9	0	0	1	0	1	3	0	0	2	0	NA	1A	1A234	Addition	Addition	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	A	234	9	0	0	9	0	0	1	0	1	3	0	0	2	0	NA	1A	1A234	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	A	238	52	5	0	9	1	0	6	0	13	0	29	0	1	0	NA	1A	1A238	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	A	238	52	5	0	9	1	0	6	0	13	0	29	0	1	0	NA	1A	1A238	Addition	Addition	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	A	238	52	5	0	9	1	0	6	0	13	0	29	0	1	0	NA	1A	1A238	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	A	253	39	0	0	5	0	0	3	0	0	0	4	0	0	0	NA	1A	1A253	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	A	253	39	0	0	5	0	0	3	0	0	0	4	0	0	0	NA	1A	1A253	Addition	Addition	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	A	253	39	0	0	5	0	0	3	0	0	0	4	0	0	0	NA	1A	1A253	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	A	678	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	1A	1A678	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	A	678	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	1A	1A678	Addition	Addition	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	A	678	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	1A	1A678	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	99	4	0	0	1	0	0	1	0	4	0	8	2	0	0	NA	1B	1B99	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	99	4	0	0	1	0	0	1	0	4	0	8	2	0	0	NA	1B	1B99	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	99	4	0	0	1	0	0	1	0	4	0	8	2	0	0	NA	1B	1B99	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	655	72	7	0	15	1	0	7	0	3	2	29	8	0	1	NA	1B	1B655	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	655	72	7	0	15	1	0	7	0	3	2	29	8	0	1	NA	1B	1B655	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	655	72	7	0	15	1	0	7	0	3	2	29	8	0	1	NA	1B	1B655	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	664	7	0	0	2	0	0	0	0	0	1	17	3	1	0	NA	1B	1B664	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	664	7	0	0	2	0	0	0	0	0	1	17	3	1	0	NA	1B	1B664	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	664	7	0	0	2	0	0	0	0	0	1	17	3	1	0	NA	1B	1B664	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	665	8	0	0	1	0	0	0	0	0	2	0	1	0	1	NA	1B	1B665	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	665	8	0	0	1	0	0	0	0	0	2	0	1	0	1	NA	1B	1B665	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	665	8	0	0	1	0	0	0	0	0	2	0	1	0	1	NA	1B	1B665	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	675	17	0	0	2	0	0	1	3	16	0	15	2	0	0	NA	1B	1B675	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	675	17	0	0	2	0	0	1	3	16	0	15	2	0	0	NA	1B	1B675	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	675	17	0	0	2	0	0	1	3	16	0	15	2	0	0	NA	1B	1B675	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	B	678	47	7	0	10	1	0	9	0	0	0	5	1	0	0	NA	1B	1B678	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	B	678	47	7	0	10	1	0	9	0	0	0	5	1	0	0	NA	1B	1B678	Control	Control	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	B	678	47	7	0	10	1	0	9	0	0	0	5	1	0	0	NA	1B	1B678	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	C	50	63	0	0	10	0	0	10	1	19	0	7	0	1	0	NA	1C	1C50	Control	Mock rainout	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	C	50	63	0	0	10	0	0	10	1	19	0	7	0	1	0	NA	1C	1C50	Control	Mock rainout	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	C	50	63	0	0	10	0	0	10	1	19	0	7	0	1	0	NA	1C	1C50	Control	Mock rainout	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	C	61	0	0	0	0	0	0	0	0	7	0	3	1	0	0	NA	1C	1C61	Control	Mock rainout	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	C	61	0	0	0	0	0	0	0	0	7	0	3	1	0	0	NA	1C	1C61	Control	Mock rainout	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	C	61	0	0	0	0	0	0	0	0	7	0	3	1	0	0	NA	1C	1C61	Control	Mock rainout	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	C	275	10	0	0	2	0	0	0	1	0	0	0	1	0	0	NA	1C	1C275	Control	Mock rainout	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	C	275	10	0	0	2	0	0	0	1	0	0	0	1	0	0	NA	1C	1C275	Control	Mock rainout	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	C	275	10	0	0	2	0	0	0	1	0	0	0	1	0	0	NA	1C	1C275	Control	Mock rainout	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	C	279	11	0	0	1	0	0	0	1	1	0	0	0	0	0	NA	1C	1C279	Control	Mock rainout	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	C	279	11	0	0	1	0	0	0	1	1	0	0	0	0	0	NA	1C	1C279	Control	Mock rainout	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	C	279	11	0	0	1	0	0	0	1	1	0	0	0	0	0	NA	1C	1C279	Control	Mock rainout	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
1	D	29	167	6	3	25	1	1	2	0	4	2	46	4	3	0	NA	1D	1D29	Reduction	Reduction	2018	2018-04-29T21:00:00Z	119	2018-04-30T17:00:00Z	120	Normal	120	normal	2018-04-30T18:00:00Z	120	0
1	D	29	167	6	3	25	1	1	2	0	4	2	46	4	3	0	NA	1D	1D29	Reduction	Reduction	2019	2019-06-06T18:00:00Z	157	2019-06-06T17:00:00Z	157	Normal	157	normal	2019-06-06T18:00:00Z	157.2	-0.19999999999998863
1	D	29	167	6	3	25	1	1	2	0	4	2	46	4	3	0	NA	1D	1D29	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-04T15:00:00Z	125	Normal	125	normal	2020-05-04T18:00:00Z	126	-1
2	A	100	0	0	0	0	0	0	0	0	0	0	6	0	0	0	NA	2A	2A100	Control	Control	2018	2018-04-25T17:00:00Z	115	2018-04-25T21:00:00Z	115	Early	115	early	2018-04-25T18:00:00Z	120	-5
2	A	100	0	0	0	0	0	0	0	0	0	0	6	0	0	0	NA	2A	2A100	Control	Control	2019	2019-06-09T16:00:00Z	160	2019-06-09T16:00:00Z	160	Normal	160	normal	2019-06-09T18:00:00Z	157.2	2.8000000000000114
2	A	100	0	0	0	0	0	0	0	0	0	0	6	0	0	0	NA	2A	2A100	Control	Control	2020	2020-04-29T18:00:00Z	120	2020-04-29T18:00:00Z	120	Early	120	early	2020-04-29T18:00:00Z	126	-6
2	A	168	0	0	0	0	0	0	0	0	5	2	15	0	0	0	NA	2A	2A168	Control	Control	2018	2018-04-25T17:00:00Z	115	2018-04-25T21:00:00Z	115	Early	115	early	2018-04-25T18:00:00Z	120	-5
2	A	168	0	0	0	0	0	0	0	0	5	2	15	0	0	0	NA	2A	2A168	Control	Control	2019	2019-06-09T16:00:00Z	160	2019-06-09T16:00:00Z	160	Normal	160	normal	2019-06-09T18:00:00Z	157.2	2.8000000000000114
2	A	168	0	0	0	0	0	0	0	0	5	2	15	0	0	0	NA	2A	2A168	Control	Control	2020	2020-04-29T18:00:00Z	120	2020-04-29T18:00:00Z	120	Early	120	early	2020-04-29T18:00:00Z	126	-6
2	A	171	127	14	3	17	2	2	5	0	1	0	22	5	1	0	NA	2A	2A171	Control	Control	2018	2018-04-25T17:00:00Z	115	2018-04-25T21:00:00Z	115	Early	115	early	2018-04-25T18:00:00Z	120	-5
