plotid	plot	subplot	water	water4	year	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
1A	1	A	Addition	Addition	2018	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4728474733202113	176.89723576932494	180.37008324264514
1A	1	A	Addition	Addition	2019	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157.75	-0.75	175	227	219	15.820749600680966	121.37527327020271	137.19602287088367
1A	1	A	Addition	Addition	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	46.78697290445285	130.85628836314308	177.64326126759593
1B	1	B	Control	Control	2018	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4728474733202113	80.64723576932492	84.12008324264514
1B	1	B	Control	Control	2019	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157.75	-0.75	175	227	219	15.820749600680966	44.375273270202705	60.19602287088367
1B	1	B	Control	Control	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	46.78697290445285	50.35628836314307	97.14326126759593
1C	1	C	Control	Mock rainout	2018	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4728474733202113	80.64723576932492	84.12008324264514
1C	1	C	Control	Mock rainout	2019	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157.75	-0.75	175	227	219	15.820749600680966	44.375273270202705	60.19602287088367
1C	1	C	Control	Mock rainout	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	46.78697290445285	50.35628836314307	97.14326126759593
1D	1	D	Reduction	Reduction	2018	2018-04-29T21:00:00Z	119	2018-04-29T17:00:00Z	119	Normal	119	0	157	222	212	3.4728474733202113	40.32361788466246	43.79646535798267
1D	1	D	Reduction	Reduction	2019	2019-06-06T17:00:00Z	157	2019-06-06T15:00:00Z	157	Normal	157.75	-0.75	175	227	219	15.820749600680966	22.187636635101352	38.00838623578232
1D	1	D	Reduction	Reduction	2020	2020-05-04T15:00:00Z	125	2020-05-02T18:00:00Z	123	Normal	125.66666666666667	-0.6666666666666714	164	227	210	46.78697290445285	25.178144181571536	71.96511708602439
2A	2	A	Control	Control	2018	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.244591356280258	80.64723576932492	84.89182712560518
2A	2	A	Control	Control	2019	2019-06-09T15:00:00Z	160	2019-06-08T20:00:00Z	159	Normal	157.75	2.25	175	227	219	15.820749600680966	44.375273270202705	60.19602287088367
