index	batch	Desorb.Start.Time	verdict	sample	file1	file2	file3	file4	file5	file6	file7	file8	file9	type	plantid	sampledate	rundate	other	vial
2	heather_maxfield190806.txt	2018-07-16T23:08:36Z		3C94July16_07162018	3C94July16	07162018								floral	3C94	July16	07162018		
4	heather_maxfield190806.txt	2018-07-18T22:27:56Z		AirJuly11_07182018	AirJuly11	07182018								ambient	Air	July11	07182018		
5	heather_maxfield190806.txt	2018-07-18T23:00:57Z		4a90July11_07182018	4a90July11	07182018								floral	4A90	July11	07182018		
6	heather_maxfield190806.txt	2018-07-18T23:34:44Z		1B655July11_07182018	1B655July11	07182018								floral	1B655	July11	07182018		
7	heather_maxfield190806.txt	2018-07-19T00:08:43Z		2D212July09_07182018	2D212July09	07182018								floral	2D212	July09	07182018		
8	heather_maxfield190806.txt	2018-07-19T00:43:09Z		3B601July09_07182018	3B601July09	07182018								floral	3B601	July09	07182018		
9	heather_maxfield190806.txt	2018-07-19T01:17:20Z		3A127July09_07182018	3A127July09	07182018								floral	3A127	July09	07182018		
10	heather_maxfield190806.txt	2018-07-19T01:51:35Z		5A180July09_07182018	5A180July09	07182018								floral	5A180	July09	07182018		
11	heather_maxfield190806.txt	2018-07-19T02:25:22Z		2D218July11_07182018	2D218July11	07182018								floral	2D218	July11	07182018		
12	heather_maxfield190806.txt	2018-07-19T02:58:47Z		5D228July06_07182018	5D228July06	07182018								floral	5D228	July06	07182018		
14	heather_maxfield190806.txt	2018-07-25T17:07:09Z		AirJuly24_07252018	AirJuly24	07252018								ambient	Air	July24	07252018		
15	heather_maxfield190806.txt	2018-07-25T17:38:59Z		1D29_July24_07252018	1D29	July24	07252018							floral	1D29	July24	07252018		
16	heather_maxfield190806.txt	2018-07-25T18:11:19Z		1A253July24_07252018	1A253July24	07252018								floral	1A253	July24	07252018		
17	heather_maxfield190806.txt	2018-07-25T18:43:55Z		2C258July24_07252018	2C258July24	07252018								floral	2C258	July24	07252018		
18	heather_maxfield190806.txt	2018-07-25T19:16:05Z		3C147July24_07252018	3C147July24	07252018								floral	3C147	July24	07252018		
19	heather_maxfield190806.txt	2018-07-25T19:48:42Z		5C216July24_07252018	5C216July24	07252018								floral	5C216	July24	07252018		
20	heather_maxfield190806.txt	2018-07-25T20:21:19Z		3C98July24_07252018	3C98July24	07252018								floral	3C98	July24	07252018		
22	heather_maxfield190806.txt	2018-07-26T17:53:56Z		AirJuly16_07262018	AirJuly16	07262018								ambient	Air	July16	07262018		
23	heather_maxfield190806.txt	2018-07-26T18:26:07Z		2D206_July24_07262018	2D206	July24	07262018							floral	2D206	July24	07262018		
24	heather_maxfield190806.txt	2018-07-26T18:59:02Z		3B601_July24_07262018	3B601	July24	07262018							floral	3B601	July24	07262018		
25	heather_maxfield190806.txt	2018-07-26T19:31:20Z		3B833_July24_07262018	3B833	July24	07262018							floral	3B833	July24	07262018		
26	heather_maxfield190806.txt	2018-07-26T20:04:05Z		2D200_July24_07262018	2D200	July24	07262018							floral	2D200	July24	07262018		
27	heather_maxfield190806.txt	2018-07-26T20:36:50Z		3D858_July16_07262018	3D858	July16	07262018							floral	3D858	July16	07262018		
28	heather_maxfield190806.txt	2018-07-26T21:10:01Z		6D55_July16_07262018	6D55	July16	07262018							floral	6D55	July16	07262018		
29	heather_maxfield190806_loose.txt	2018-07-26T21:43:26Z		3B601_July16_07262018	3B601	July16	07262018							floral	3B601	July16	07262018		
30	heather_maxfield190806_loose.txt	2018-07-26T22:16:48Z		5C216_July16_07262018	5C216	July16	07262018							floral	5C216	July16	07262018		
31	heather_maxfield190806.txt	2018-07-26T22:51:33Z		Air_July16_07262018	Air	July16	07262018							ambient	Air	July16	07262018	_	
32	heather_maxfield190806_loose.txt	2018-07-26T23:24:44Z		5D283_July16_07262018	5D283	July16	07262018							floral	5D283	July16	07262018		
33	heather_maxfield190806_loose.txt	2018-07-26T23:59:12Z		6D54_July16_07262018	6D54	July16	07262018							floral	6D54	July16	07262018		
34	heather_maxfield190806_loose.txt	2018-07-27T00:33:33Z		3D874_July16_07262018	3D874	July16	07262018							floral	3D874	July16	07262018		
35	heather_maxfield190806_loose.txt	2018-07-27T01:08:10Z		2D212_July17_07262018	2D212	July17	07262018							floral	2D212	July17	07262018		
36	heather_maxfield190806_loose.txt	2018-07-27T01:42:36Z		5C221_July16_07262018	5C221	July16	07262018							floral	5C221	July16	07262018		
37	heather_maxfield190806_loose.txt	2018-07-27T02:16:43Z		4A76_July17_07262018	4A76	July17	07262018							floral	4A76	July17	07262018		
38	heather_maxfield190806_loose.txt	2018-07-27T02:50:23Z		5B284_July16_07262018	5B284	July16	07262018							floral	5B284	July16	07262018		
39	heather_maxfield190806_loose.txt	2018-07-27T03:23:35Z		3C147_July16_07262018	3C147	July16	07262018							floral	3C147	July16	07262018		
40	heather_maxfield190806_loose.txt	2018-07-27T03:56:08Z		2C100_July17_07262018	2C100	July17	07262018							floral	2C100	July17	07262018		
42	heather_maxfield190806_loose.txt	2018-07-27T05:29:00Z		Air_June22_072620181_A232_June28	Air	June22	072620181	A232	June28					ambient	Air	June22	07262018	A232	
43	heather_maxfield190806_loose.txt	2018-07-27T06:00:58Z		2D218_July9_07262018	2D218	July9	07262018							floral	2D218	July9	07262018		
44	heather_maxfield190806_loose.txt	2018-07-27T06:33:02Z		3D877_July19_07262018	3D877	July19	07262018							floral	3D877	July19	07262018		
45	heather_maxfield190806_loose.txt	2018-07-27T07:04:56Z		5D245_July27_07262018	5D245	July27	07262018							floral	5D245	July27	07262018		
46	heather_maxfield190806_loose.txt	2018-07-27T07:36:36Z		3A128_June22_07262018	3A128	June22	07262018							floral	3A128	June22	07262018		
47	heather_maxfield190806_loose.txt	2018-07-27T08:08:25Z		2C291_June22_07262018	2C291	June22	07262018							floral	2C291	June22	07262018		
48	heather_maxfield190806_loose.txt	2018-07-27T08:40:07Z		6D47_June25_07262018	6D47	June25	07262018							floral	6D47	June25	07262018		
49			skip-notrun																
50	heather_maxfield190806_loose.txt	2018-07-27T09:11:55Z	skip-rename	2D200_June22_07262018	2D200	June22	07262018							floral	2D200	June22	07262018		
51	heather_maxfield190806_loose.txt	2018-07-27T09:44:12Z	skip-renamed	3C156_June22_07262018_3D884_June22	3C156	June22	07262018	3D884	June22					floral	3C156	June22	07262018		
52	heather_maxfield190806_loose.txt	2018-07-27T10:14:43Z	skip-renamed	3D844_June22_07262018_5D231_June27	3D844	June22	07262018	5D231	June27					floral	3D844	June22	07262018		
53	heather_maxfield190806_loose.txt	2018-07-27T10:46:16Z	skip-renamed	5D231_June27_07262018_2B87_June22	5D231	June27	07262018	2B87	June22					floral	5D231	June27	07262018		
54	heather_maxfield190806_loose.txt	2018-07-27T11:17:42Z	skip-renamed	2B87_June22_07262018_5C205_June27	2B87	June22	07262018	5C205	June27					floral	2B87	June22	07262018		
55	heather_maxfield190806_loose.txt	2018-07-27T11:49:13Z	skip-renamed	5C205_June27_07262018_5A181_June25	5C205	June27	07262018	5A181	June25					floral	5C205	June27	07262018		
56	heather_maxfield190806_loose.txt	2018-07-27T12:20:45Z	skip-renamed	5A181_June25_07262018_Air_June27	5A181	June25	07262018	Air	June27					floral	5A181	June25	07262018		
57	heather_maxfield190806_loose.txt	2018-07-27T12:51:47Z	skip-renamed	Air_June27_07262018_Air_June25	Air	June27	07262018	Air	June25					ambient	Air	June27	07262018		
58	heather_maxfield190806_loose.txt	2018-07-27T13:23:23Z	skip-renamed	Air_June25_07262018_1A232_June28	Air	June25	07262018	1A232	June28					ambient	Air	June25	07262018		
59	heather_maxfield190806_loose.txt	2018-07-27T13:54:58Z	skip-renamed	1A232_June28_07262018_2C265_June19	1A232	June28	07262018	2C265	June19					floral	1A232	June28	07262018		
61	heather_maxfield190806.txt	2018-07-29T02:16:54Z		AirJune29_07282018	AirJune29	07282018								ambient	Air	June29	07282018		
62	heather_maxfield190806.txt	2018-07-29T02:48:34Z		6C78_June27_07282018	6C78	June27	07282018							floral	6C78	June27	07282018		
63	heather_maxfield190806.txt	2018-07-29T03:20:11Z		4B189_June28_07282018	4B189	June28	07282018							floral	4B189	June28	07282018		
64	heather_maxfield190806.txt	2018-07-29T03:51:50Z		3B833_June28_07282018	3B833	June28	07282018							floral	3B833	June28	07282018		
65	heather_maxfield190806.txt	2018-07-29T04:23:23Z		3D858_July16_07282018	3D858	July16	07282018							floral	3D858	July16	07282018		
66	heather_maxfield190806.txt	2018-07-29T04:54:58Z		6B28_July3_07282018	6B28	July3	07282018							floral	6B28	July3	07282018		
67	heather_maxfield190806.txt	2018-07-29T05:26:20Z		3C171_July9_07282018	3C171	July9	07282018							floral	3C171	July9	07282018		
68	heather_maxfield190806.txt	2018-07-29T05:57:50Z		3D858_July16v2_07282018	3D858	July16v2	07282018							floral	3D858	July16	07282018	v2	
69	heather_maxfield190806.txt	2018-07-29T06:29:17Z		2B195_June29_07282018	2B195	June29	07282018							floral	2B195	June29	07282018		
70	heather_maxfield190806.txt	2018-07-29T07:01:31Z		5C103_July3_07282018	5C103	July3	07282018							floral	5C103	July3	07282018		
71	heather_maxfield190806.txt	2018-07-29T07:32:06Z		3D879_July9_07282018	3D879	July9	07282018							floral	3D879	July9	07282018		
72	heather_maxfield190806.txt	2018-07-29T08:03:25Z		3C168_June29_07282018	3C168	June29	07282018							floral	3C168	June29	07282018		
73	heather_maxfield190806.txt	2018-07-29T08:34:47Z		5A175_July3_07282018	5A175	July3	07282018							floral	5A175	July3	07282018		
74	heather_maxfield190806.txt	2018-07-29T09:06:13Z		5A181_June25v2_07282018	5A181	June25v2	07282018							floral	5A181	June25	07282018	v2	
75	heather_maxfield190806.txt	2018-07-29T09:37:37Z		2A172_July5_07282018	2A172	July5	07282018							floral	2A172	July5	07282018		
76	heather_maxfield190806.txt	2018-07-29T10:08:59Z		6A143_July9_07282018	6A143	July9	07282018							floral	6A143	July9	07282018		
