precip	snow.removal	plot_ID	year	sample
add H20	Control	1A	2018	1A232_1_Aug2_08022018_1A232_2_Aug2_08022018
add H20	Control	1A	2018	1A232_2_Aug2_08022018_2D206_2_Aug2_08022018
add H20	Control	1A	2019	1A236_190724_812019_09
add H20	Control	1A	2018	1A238_July5_07282018
add H20	Control	1A	2019	1A239_190724_812019_10
add H20	Control	1A	2019	1A246_190724_812019_13
add H20	Control	1A	2018	1A253_July11_07292018
add H20	Control	1A	2018	1A253July24_07252018
add H20	Control	1A	2019	1A258_190724_7282019_17
Control	Control	1B	2018	1B655_June28_07292018
Control	Control	1B	2018	1B655July11_07182018
Control	Control	1B	2019	1B657_190726_822019_04_NOT_3C131_190726_822019_03
Control	Control	1B	2018	1B664_July5_08032018
Control	Control	1B	2019	1B670_190724_812019_12
Control	Control	1B	2018	1B678_July5_08032018
Control	Control	1B	2019	1B684_190717_7262019_08_NOT_1C47_190717_7262019_07
Control	Control	1B	2018	1B99_July5_08032018
mock rainout	Control	1C	2019	1C43_190717_7262019_14_NOT_Blank2_7262019_13
mock rainout	Control	1C	2019	1C47_190717_7262019_07_NOT_Air_190716_7262019_06
mock rainout	Control	1C	2018	1C60_July11_08042018
mock rainout	Control	1C	2018	1C62_July5_08032018
rainout	Control	1D	2019	1D19_190724_7282019_16
rainout	Control	1D	2018	1D29_July11_08042018
rainout	Control	1D	2018	1D29_July24_07252018
rainout	Control	1D	2018	1D29_July5_08032018
rainout	Control	1D	2019	1D34_190724_812019_08
rainout	Control	1D	2019	1D5_190724_7282019_14
Control	Early	2A	2019	2A158_190722_7272019_14
Control	Early	2A	2019	2A166_190724_7282019_13
Control	Early	2A	2018	2A171_July11_08042018
Control	Early	2A	2018	2A171_July9_08052018
Control	Early	2A	2018	2A172_Aug2_08022018
Control	Early	2A	2018	2A172_July5_07282018
Control	Early	2A	2019	2A679_190722_7272019_15
mock rainout	Early	2B	2018	2B129_July9_07292018
mock rainout	Early	2B	2019	2B177_190729_812019_05
mock rainout	Early	2B	2018	2B195_June29_07282018
mock rainout	Early	2B	2018	2B199_July9_08012018_2A172_July9_08012018
mock rainout	Early	2B	2019	2B201_19072_7272019_09
