response,trait,term,use_env,estimate,std.error,statistic,p.value,standard,verdict,class,area_per_ng2018,area_per_ng2019,area_per_ng2021,freq.floral,mean.floral,max.floral,tests,analysis,en_alpha,step,lambda,dev.ratio,partial,conf_low,conf_high
eggs_per_flower,(E)-4-oxohex-2-enal,trait,FALSE,0.03541612921952798,0.053836873535446285,0.6578414921551851,0.5110890840861919,Hexenol,keep_leaf,Aliphatics,297190,117398,130775,0.9039301310043668,1.1644873182506652,22.174669849831137,,,,,,,,,
eggs_per_flower,(E)-4-oxohex-2-enal,trait:precip_est_mm,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,(E)-4-oxohex-2-enal,trait:sun_date,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,(Z)-α-bergamotene,trait,TRUE,-0.17872689620902021,0.4919744313228135,-0.36328492870749807,0.716622555588043,Caryophyllene,fvoc,Sesquiterpenes,200444,237272,243783,0.75764192139738,0.6240673488373436,5.700777429623835,,,,,,,,,
eggs_per_flower,(Z)-α-bergamotene,trait:precip_est_mm,TRUE,-0.002284637028268057,0.001000763112653812,-2.282894922265553,0.023066382528700455,Caryophyllene,fvoc,Sesquiterpenes,200444,237272,243783,0.75764192139738,0.6240673488373436,5.700777429623835,,,,,,,,,
eggs_per_flower,(Z)-α-bergamotene,trait:sun_date,TRUE,0.0028031032768859026,0.0037010174540041438,0.7573872081725027,0.4493535063593722,Caryophyllene,fvoc,Sesquiterpenes,200444,237272,243783,0.75764192139738,0.6240673488373436,5.700777429623835,,,,,,,,,
eggs_per_flower,(Z)-β-ocimene,trait,FALSE,-0.008837325278589048,0.05386927854846596,-0.1640513019055591,0.8697891032896612,alpha_Pinene,merge,Monoterpenes,88099,43997,49928,0.9912663755458515,15.353374902855323,156.5377379957849,,,,,,,,,
eggs_per_flower,(Z)-β-ocimene,trait:precip_est_mm,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,(Z)-β-ocimene,trait:sun_date,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,2-methylbenzonitrile,trait,FALSE,-0.03157435721424813,0.05384396566052745,-0.5864047498528702,0.5579961232942239,Indole,merge,Benzenoids,138903,125163,110213,0.9672489082969432,0.2869207506154596,2.3713099342257387,,,,,,,,,
eggs_per_flower,2-methylbenzonitrile,trait:precip_est_mm,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,2-methylbenzonitrile,trait:sun_date,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,3-carene,trait,FALSE,-0.029052091941289267,0.0538481791214059,-0.5395185578288271,0.5898853784512713,alpha_Pinene,ambi,Monoterpenes,88099,43997,49928,0.9716157205240175,9.837108982684905,73.68555700085194,,,,,,,,,
eggs_per_flower,3-carene,trait:precip_est_mm,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,3-carene,trait:sun_date,,,,,,,,,,,,,,,,,,,,,,,
eggs_per_flower,α-copaene,trait,FALSE,-0.02434876016937905,0.053855098944300926,-0.4521161532831181,0.6514761751223055,Caryophyllene,merge,Sesquiterpenes,200444,237272,243783,0.7641921397379913,0.5274015734603433,21.042498025554465,,,,,,,,,
