vt.n,sampledate,plot,subplot,plant,in.vt,FileName,in.volsmeta
1,2020-07-01,1,A,257,TRUE,1A257_200701_772021_35.qgd,TRUE
2,2020-07-01,2,A,589,TRUE,2A589_200701_772021_36.qgd,TRUE
3,2020-07-01,2,A,285,TRUE,NA,FALSE
4,2020-07-01,2,B,138,TRUE,NA,FALSE
5,2020-07-01,2,D,193,TRUE,NA,FALSE
6,2020-07-01,3,A,125,TRUE,NA,FALSE
7,2020-07-01,3,A,278,TRUE,NA,FALSE
8,2020-07-01,3,B,603,TRUE,NA,FALSE
9,2020-07-01,5,B,16,TRUE,NA,FALSE
10,2020-07-01,5,D,242,TRUE,NA,FALSE
11,2020-07-01,5,A,185,TRUE,NA,FALSE
12,2020-07-01,1,A,231,TRUE,1A231_200701_752021_02.qgd,TRUE
13,2020-07-01,1,A,244,TRUE,1A244_200701_752021_03.qgd,TRUE
14,2020-07-01,1,A,250,TRUE,1A250_200701_752021_04.qgd,TRUE
15,2020-07-01,1,D,24,TRUE,1D24_200701_752021_06.qgd,TRUE
16,2020-07-01,1,C,64,TRUE,1C64_200701_752021_05.qgd,TRUE
17,2020-07-01,3,C,174,TRUE,3C174_200701_752021_07.qgd,TRUE
18,2020-07-01,3,D,886,TRUE,3D886_200701_752021_08.qgd,TRUE
19,2020-07-01,4,A,114,TRUE,4A114_200701_752021_09.qgd,TRUE
20,2020-07-01,4,B,596,TRUE,NA,FALSE
21,2020-07-01,4,D,47,TRUE,4D47_200701_762021_02.qgd,TRUE
22,2020-07-01,6,C,93,TRUE,6C93_200701_762021_03.qgd,TRUE
23,2020-07-08,6,D,46,TRUE,6D46_200708_762021_19.qgd,TRUE
24,2020-07-08,6,D,68,TRUE,6D68_200708_762021_20.qgd,TRUE
25,2020-07-08,6,D,71,TRUE,6D71_200708_762021_21.qgd,TRUE
26,2020-07-08,3,A,638,TRUE,3A638_200708_762021_22.qgd,TRUE
27,2020-07-08,3,B,831,TRUE,NA,FALSE
28,2020-07-08,3,D,892,TRUE,3D892_200708_762021_23.qgd,TRUE
29,2020-07-08,3,D,875,TRUE,3D875_200708_762021_25.qgd,TRUE
30,2020-07-08,5,A,196,TRUE,5A196_200708_772021_02.qgd,TRUE
31,2020-07-08,5,A,185,TRUE,5A185_200708_772021_03.qgd,TRUE
32,2020-07-08,5,D,274,TRUE,5D274_200708_772021_04.qgd,TRUE
33,2020-07-08,2,B,81,TRUE,2B81_200708_772021_15.qgd,TRUE
34,2020-07-08,2,A,674,TRUE,NA,FALSE
35,2020-07-08,2,D,214,TRUE,NA,FALSE
36,2020-07-08,2,B,195,TRUE,NA,FALSE
37,2020-07-08,2,D,204,TRUE,NA,FALSE
38,2020-07-08,2,D,187,TRUE,NA,FALSE
39,2020-07-08,2,C,270,TRUE,NA,FALSE
40,2020-07-08,2,C,277,TRUE,NA,FALSE
41,2020-07-08,2,A,94,TRUE,NA,FALSE
43,2020-07-08,1,A,246,TRUE,1A246_200708_782021_27.qgd,TRUE
44,2020-07-08,1,A,255,TRUE,1A255_200708_782021_26.qgd,TRUE
45,2020-07-08,1,A,235,TRUE,1A235_200708_782021_28.qgd,TRUE
46,2020-07-08,1,A,133,TRUE,1A133_200708_782021_29.qgd,TRUE
47,2020-07-08,1,A,230,TRUE,1A230_200708_782021_30.qgd,TRUE
48,2020-07-08,1,A,243,TRUE,1A243_200708_782021_31.qgd,TRUE
49,2020-07-08,1,B,649,TRUE,1B649_200708_782021_32.qgd,TRUE
50,2020-07-08,1,C,63,TRUE,1C63_200708_782021_34.qgd,TRUE
51,2020-07-08,1,C,64,TRUE,NA,FALSE
52,2020-07-15,1,C,60,TRUE,1C60_200715_762021_04.qgd,TRUE
53,2020-07-15,1,C,46,TRUE,1C46_200715_762021_05.qgd,TRUE
54,2020-07-15,1,D,37,TRUE,1D37_200715_762021_06.qgd,TRUE
55,2020-07-15,1,D,33,TRUE,1D33_200715_762021_07.qgd,TRUE
56,2020-07-15,1,D,9,TRUE,1D9_200715_762021_09.qgd,TRUE
57,2020-07-15,1,D,17,TRUE,1D17_200715_762021_10.qgd,TRUE
58,2020-07-15,1,D,12,TRUE,1D12_200715_762021_11.qgd,TRUE
59,2020-07-15,1,D,24,TRUE,1D24_200715_762021_12.qgd,TRUE
60,2020-07-15,4,A,68,TRUE,4A68_200715_762021_13.qgd,TRUE
61,2020-07-15,4,A,109,TRUE,4A109_200715_762021_14.qgd,TRUE
62,2020-07-15,4,A,110,TRUE,4A110_200715_762021_15.qgd,TRUE
63,2020-07-15,4,A,121,TRUE,4A121_200715_762021_16.qgd,TRUE
64,2020-07-15,4,A,115,TRUE,4A115_200715_762021_17.qgd,TRUE
65,2020-07-15,4,A,91,TRUE,4A91_200715_762021_18.qgd,TRUE
66,2020-07-15,5,A,180,TRUE,5A180_200715_772021_26.qgd,TRUE
67,2020-07-15,5,B,20,TRUE,5B20_200715_772021_27.qgd,TRUE
68,2020-07-15,5,B,288,TRUE,5B288_200715_772021_28.qgd,TRUE
69,2020-07-15,5,B,5,TRUE,5B5_200715_772021_29.qgd,TRUE
70,2020-07-15,5,C,225,TRUE,5C225_200715_772021_30.qgd,TRUE
71,2020-07-15,5,C,202,TRUE,5C202_200715_772021_31.qgd,TRUE
72,2020-07-15,5,D,269,TRUE,5D269_200715_772021_32.qgd,TRUE
73,2020-07-15,5,D,242,TRUE,5D242_200715_772021_33.qgd,TRUE
75,2020-07-22,1,D,12,TRUE,4B171_32_210709_792021_30.qgd,TRUE
76,2020-07-22,1,D,9,TRUE,1D12_200722_792021_31.qgd,TRUE
77,2020-07-22,1,D,33,TRUE,1D9_200722_792021_32.qgd,TRUE
78,2020-07-22,1,D,31,TRUE,1D33_200722_792021_33.qgd,TRUE
79,2020-07-22,1,C,60,TRUE,1D31_200722_792021_34.qgd,TRUE
80,2020-07-22,1,C,63,TRUE,1C60_200722_792021_35.qgd,TRUE
81,2020-07-22,1,A,251,TRUE,1A251_200722_7112021_02.qgd,TRUE
82,2020-07-22,1,B,650,TRUE,NA,FALSE
83,2020-07-22,1,B,653,TRUE,1B653_200722_7112021_04.qgd,TRUE
84,2020-07-22,1,B,656,TRUE,1B656_200722_7112021_05.qgd,TRUE
85,2020-07-22,1,B,672,TRUE,1B672_200722_7112021_06.qgd,TRUE
86,2020-07-22,1,B,650,TRUE,NA,FALSE
87,2020-07-22,3,A,636,TRUE,3A636_200722_redo_7122021_08.qgd,TRUE
88,2020-07-22,3,A,273,TRUE,3A273_200722_7112021_09.qgd,TRUE
90,2020-07-22,2,C,270,TRUE,2C270_200722_7112021_11.qgd,TRUE
91,2020-07-22,2,C,277,TRUE,2C277_200722_7112021_12.qgd,TRUE
92,2020-07-22,2,C,274,TRUE,2C274_200722_7112021_13.qgd,TRUE
93,2020-07-22,2,C,289,TRUE,2C289_200722_7112021_14.qgd,TRUE
94,2020-07-22,2,C,262,TRUE,2C262_200722_7112021_15.qgd,TRUE
95,2020-07-22,2,C,297,TRUE,2C297_200722_7112021_16.qgd,TRUE
96,2020-07-22,2,C,293,TRUE,2C293_200722_7112021_17.qgd,TRUE
97,2020-07-22,2,C,292,TRUE,2C292_200722_7112021_18.qgd,TRUE
98,2020-07-22,2,B,185,TRUE,2B185_200722_7112021_19.qgd,TRUE
99,2020-07-22,2,B,188,TRUE,2B188_200722_7112021_20.qgd,TRUE
100,2020-07-22,2,B,189,TRUE,2B189_200722_7112021_22.qgd,TRUE
101,2020-07-22,2,B,186,TRUE,2B186_200722_7112021_23.qgd,TRUE
102,2020-07-22,2,B,183,TRUE,2B183_200722_7112021_24.qgd,TRUE
103,2020-07-22,2,B,190,TRUE,2B190_200722_7112021_26.qgd,TRUE
104,2020-07-22,2,B,184,TRUE,2B184_200722_7112021_27.qgd,TRUE
106,2020-07-22,2,B,81,TRUE,2B81_200722_7112021_29.qgd,TRUE
107,2020-07-22,2,B,83,TRUE,2B83_200722_7112021_30.qgd,TRUE
108,2020-07-22,2,B,89,TRUE,2B89_200722_7112021_31.qgd,TRUE
109,2020-07-22,2,B,138,TRUE,2B138_200722_7112021_32.qgd,TRUE
110,2020-07-22,2,B,219,TRUE,NA,FALSE
111,2020-07-22,2,B,220,TRUE,NA,FALSE
112,2020-07-22,2,B,194,TRUE,NA,FALSE
113,2020-07-22,2,B,207,TRUE,NA,FALSE
114,2020-07-29,3,C,137,TRUE,NA,FALSE
115,2020-07-29,3,C,139,TRUE,NA,FALSE
116,2020-07-29,3,C,153,TRUE,NA,FALSE
117,2020-07-29,3,C,153,TRUE,NA,FALSE
118,2020-07-29,3,C,173,TRUE,NA,FALSE
119,2020-07-29,3,C,166,TRUE,NA,FALSE
120,2020-07-29,3,C,177,TRUE,NA,FALSE
121,2020-07-29,3,C,133,TRUE,NA,FALSE
123,2020-07-29,4,D,52,TRUE,NA,FALSE
124,2020-07-29,1,B,650,TRUE,NA,FALSE
125,2020-07-29,1,B,653,TRUE,NA,FALSE
127,2020-07-29,4,A,124,TRUE,4A124_200729_7122021_02.qgd,TRUE
128,2020-07-29,4,A,101,TRUE,4A101_200729_7122021_04.qgd,TRUE
129,2020-07-29,4,A,80,TRUE,4A80_200729_7122021_05.qgd,TRUE
130,2020-07-29,4,A,85,TRUE,4A85_200729_7122021_06.qgd,TRUE
131,2020-07-29,4,A,99,TRUE,4A99_200729_7122021_07.qgd,TRUE
132,2020-07-29,4,B,594,TRUE,4B594_200729_7122021_09.qgd,TRUE
133,2020-07-29,4,C,213,TRUE,4C213_200729_7122021_10.qgd,TRUE
134,2020-07-29,4,C,187,TRUE,4C187_200729_7122021_11.qgd,TRUE
135,2020-07-29,4,C,120,TRUE,4C120_200729_7122021_12.qgd,TRUE
136,2020-07-29,4,C,195,TRUE,4C195_200729_7122021_13.qgd,TRUE
137,2020-07-29,4,D,37,TRUE,4D37_200729_7122021_15.qgd,TRUE
139,2020-07-29,5,D,247,TRUE,5D247_200729_7122021_16.qgd,TRUE
140,2020-07-29,6,D,46,TRUE,6D46_200729_7122021_17.qgd,TRUE
141,2020-07-29,6,C,96,TRUE,6C96_200729_7122021_18.qgd,TRUE
142,2020-07-29,6,C,111,TRUE,6C111_200729_7122021_19.qgd,TRUE
143,2020-07-29,6,C,116,TRUE,6C116_200729_7122021_20.qgd,TRUE
144,2020-07-29,6,C,121,TRUE,6C121_200729_7122021_22.qgd,TRUE
145,2020-07-29,6,A,145,TRUE,6A145_200729_752021_09.qgd,TRUE
145,2020-07-29,6,A,145,TRUE,6A145_200729_752021_09.qgd,TRUE
145,2020-07-29,6,A,145,TRUE,6A145_200729_7122021_23.qgd,TRUE
145,2020-07-29,6,A,145,TRUE,6A145_200729_7122021_23.qgd,TRUE
146,2020-07-29,6,A,136,TRUE,6A136_200729_7122021_24.qgd,TRUE
147,2020-07-29,6,D,59,TRUE,6D59_200729_7122021_25.qgd,TRUE
148,2020-07-29,6,D,64,TRUE,6D64_200729_7122021_26.qgd,TRUE
149,2020-07-29,6,D,45,TRUE,NA,FALSE
150,2020-07-29,6,D,48,TRUE,6D48_200729_7122021_27.qgd,TRUE
151,2020-07-29,5,B,289,TRUE,5B289_200729_7122021_28.qgd,TRUE
152,2020-07-29,5,B,299,TRUE,5B299_200729_7122021_29.qgd,TRUE
153,2020-07-29,5,B,296,TRUE,5B296_200729_7122021_30.qgd,TRUE
154,2020-07-29,5,C,217,TRUE,5C217_200729_7122021_31.qgd,TRUE
155,2020-07-29,5,C,683,TRUE,5C683_200729_7122021_32.qgd,TRUE
156,2020-07-29,5,C,207,TRUE,5C207_200729_7122021_33.qgd,TRUE
157,2020-07-29,5,C,208,TRUE,5C208_200729_7122021_34.qgd,TRUE
158,2020-07-29,3,B,828,TRUE,3B828_200729_752021_05.qgd,TRUE
159,2020-07-29,3,B,838,TRUE,3B838_200729_752021_02.qgd,TRUE
160,2020-07-29,3,B,618,TRUE,3B618_200729_752021_04.qgd,TRUE
161,2020-07-29,3,A,641,TRUE,3A641_200729_752021_03.qgd,TRUE
162,2020-07-29,3,D,881,TRUE,3D881_200729_752021_06.qgd,TRUE
163,2020-07-29,3,D,895,TRUE,3D895_200729_752021_07.qgd,TRUE
164,2020-07-29,5,A,180,TRUE,5A180_200729_752021_08.qgd,TRUE
165,2020-07-29,6,A,145,TRUE,6A145_200729_752021_09.qgd,TRUE
165,2020-07-29,6,A,145,TRUE,6A145_200729_752021_09.qgd,TRUE
165,2020-07-29,6,A,145,TRUE,6A145_200729_7122021_23.qgd,TRUE
165,2020-07-29,6,A,145,TRUE,6A145_200729_7122021_23.qgd,TRUE
166,2019-07-29,2,C,298,TRUE,2C298_190729_812019_02.qgd,TRUE
167,2019-07-29,2,C,202,TRUE,2C202_190729_812019_11.qgd,TRUE
168,2019-07-29,2,C,288,TRUE,2C288_190729_812019_16.qgd,TRUE
169,2019-07-29,2,C,277,TRUE,2C277_190729_812019_08.qgd,TRUE
170,2019-07-29,2,C,268,TRUE,2C268_190729_812019_06.qgd,TRUE
172,2019-07-29,3,C,179,TRUE,3C179_190729_812019_10.qgd,TRUE
173,2019-07-29,3,C,182,TRUE,3C182_190729_812019_04.qgd,TRUE
174,2019-07-29,2,B,99,TRUE,2B99_190729_812019_07.qgd,TRUE
175,2019-07-29,2,B,177,TRUE,2B177_190729_812019_05.qgd,TRUE
176,2019-07-29,3,B,823,TRUE,3B823_190729_812019_09.qgd,TRUE
177,2019-07-29,3,B,605,TRUE,3B605_190729_812019_15.qgd,TRUE
178,2019-07-29,5,D,240,TRUE,5D240_190729_812019_12.qgd,TRUE
179,2019-07-29,5,D,266,TRUE,5D266_190729_812019_03.qgd,TRUE
181,2019-08-05,1,A,259,TRUE,1A259_190805_8112019_14.qgd,TRUE
182,2019-08-05,1,B,684,TRUE,1B684_190805_8112019_13.qgd,TRUE
183,2019-08-05,1,C,72,TRUE,1C72_190805_8112019_12.qgd,TRUE
184,2019-08-05,2,B,130,TRUE,2B130_190805_8112019_11.qgd,TRUE
185,2019-08-05,2,C,277,TRUE,2C277_190805_8112019_18.qgd,TRUE
186,2019-08-05,2,C,298,TRUE,2C298_190805_8112019_16.qgd,TRUE
187,2019-08-05,2,C,300,TRUE,2C300_190805_8112019_15.qgd,TRUE
188,2019-08-05,2,D,225,TRUE,2D225_190805_8112019_19.qgd,TRUE
189,2019-08-05,5,A,200,TRUE,5A200_190805_8112019_20.qgd,TRUE
190,2019-08-05,5,A,202,TRUE,5A202_190805_8112019_09.qgd,TRUE
191,2019-08-05,5,B,6,TRUE,5B6_190805_8112019_23.qgd,TRUE
192,2019-08-05,5,B,30,TRUE,5B30_190805_8112019_22.qgd,TRUE
193,2019-08-05,5,D,272,TRUE,5D272_190805_8132019_04.qgd,TRUE
194,2019-08-05,5,D,286,TRUE,5D286_190805_8132019_06.qgd,TRUE
195,2019-08-05,5,D,282,TRUE,5D282_190805_8132019_07.qgd,TRUE
196,2019-08-05,5,D,288,TRUE,5D288_190805_8132019_02.qgd,TRUE
